1;Wuppertal muss grundsätzlich gegen verbale Attacken und Gewaltangriffe jeder Art und gegen jeden vorgehen.
1;Sollte grundsätzlich weiter vereinfacht werden. Ein Beispiel ist der LVR (Landschaftsverband Rheinland) mit seinen Grundsätzen zu einfacher Sprache.
1;Ein Höchstmaß an Transparenz sollte gewährleistet sein.
-1;Damit könnten unsinnige und überteuerte Prestige-Projekt bereits im Vorfeld verhindert werden.
1;Auch dies ist ausbaufähig, z. B. für die Bezirksvertretungen.
1;Hier ist noch erheblicher Nachholbedarf. Kein Kind darf auf der Strecke bleiben.
-1;Wuppertal braucht mehr Ganztagesplätze in allen Schulformen und mehr Investitionen in alle Schulformen.
-1;Die AfD begrüßt außerordentlich weiteren Ausbau. 
1;Das Angebot sollte ständig überwacht, überarbeitet und angepasst werden.
1;Hier gibt es vieles zu tun, was unbedingt sofort nach Beendigung der Haushaltssicherung anzugehen ist.
-1;Kulturförderung ist Teil der Bildung und Bildung ist der Schlüssel für unsere Zukunft.
1;Ein einmaliger Tag für Menschen der Behinderung pro Jahr ist zu wenig! Damit ist nicht genug getan. Rat und Verwaltung müssten die Angebote des LVR (Landschaftsversammlung Rheinland) besser unterstützen. Beispiel: Förderschulen, Schwimmsportfest am 02.06.14.
1;Wuppertal hat einen internationalen Ruf in der Kulturlandschaft, z. B. Pina-Bausch-Ensemble, A-Orchester, Schauspiel und Oper. Diese Werbeträger für die Stadt müssen erhalten bleiben.
1; Diese historische Kulturstätte ist weit über die Grenzen Europas bekannt. Die VR China hat Wuppertal als Touristenziel erkannt und dies fördert die hiesige Wirtschaft.
1;Lärmbelästigungen sind grundsätzlich so weit wie möglich zu vermeiden. Gegenseitige Rücksichtnahme sollte Vorrang haben. Das Luisenviertel wird den Anforderungen einer Universitätsstadt gerecht und die Wuppertaler nehmen es auch gerne an.
-1;Die WSW müssen vollständig privatisiert werden, damit keine höheren Belastungen auf die Bürger/innen zukommen. Zudem müssen die Zahlen / Altlasten der WSW auch für die letzten Jahre rückstandslos aufgedeckt werden.
1;Die Verwaltung sollte dazu Konzepte erarbeiten und dringend die dazu auf verschiedenen Ebenen angebotenen Fördermittel abrufen.
1;Aber: sofern erneuerbare Energien mit Fördermitteln zum Einsatz kommen können, sollte diese auch genutzt werden. Diese würden den Haushalt nicht mehr belasten.
-1;NSA und Snowden lassen grüßen!
-1; Während der Haushaltssicherung kann die Gewerbesteuer nicht gesenkt werden. Für Unternehmen gibt es noch wichtigere Standortfaktoren, die dringend ausgebaut werden sollten, um Unternehmen anzusiedeln.
-1;Naturdenkmäler sind geschützt. Die Stadt Wuppertal wird aufgefordert, den Baum des Jahres jedes Jahr neu zu pflanzen und hierzu die Förderung des LVR (Landschaftsversammlung Rheinland) zu nutzen. Ferner gilt es nicht nur Bäume, sondern auch andere Pflanzenarten zu schützen. Pflanzen sind Kulturgut.
-1;Wuppertal ist in Teilen zu schmutzig. Hier sollte nach dem Verursacherprinzip vorgegangen werden. Diese Aufgabe könnte über das Ordnungsamt überwacht werden.
-1;Ökonomie und Ökologie schließen sich nicht aus. Hier müssen lediglich vernünftige und gesunde Lösungen erarbeitet werden.
-1;Ist in der Verwaltungsstruktur integriert.
1;Die AfD steht für Bürgerbeteiligung und Transparenz.
1;
1;IKEA ist eine wichtige Investition. Es ist Aufgabe von Rat und Verwaltung eine vernünftige Verkehrsplanung unter Einbeziehung der Bürger umzusetzen.
1;Die Umsetzung ist mittlerweile nicht mehr zu ändern bzw. zu verhindern, die AfD kritisiert aber die Kostenexplosion und erwartet, dass die Verantwortlichen für Fehler einstehen und die Konsequenzen tragen. Während der Bauzeit erwartet die AfD ein Höchstmaß an Transparenz zu den Baufortschritten und jeweiligen Kosten für die Bürger/innen. Für weitere Projekte ist im Vorfeld mehr Bürgerbeteiligung, Transparenz und ein effektives Controlling unerlässlich. 
1;Rat und Verwaltung werden beauftragt, einen adäquaten Platz zu finden. Alternativen sollten vorhanden sein.
-1;Viele Studenten entscheiden sich für die Universitätsstadt Wuppertal – und das nicht ohne Grund. Wuppertal sollte den Studenten attraktivere Angebote unterbreiten können und Ihnen weitgehend entgegen kommen. Dadurch würde auch ein Wohnsitz in Wuppertal in greifbare Nähe rücken.
1;Das liegt an der topografischen Lage. Nichtsdestotrotz ist das Angebot an Fahrradwegen nach jeder Möglichkeit auszuweiten.
1;Bahn und Busse müssen bezüglich der Anschlusszeiten besser aufeinander abgestimmt werden. Die Schwebebahn darf nicht ausfallen.
-1;Die AfD wünscht sich, das Nachtangebot für Freitag bis Sonntag auszuweiten.
1;Der Ausbau wird durch den Landesbetrieb Straßen gesteuert.
-1;Hier gelten die Beförderungsrichtlinien im ÖPNV. 
-1;Falscher Standort. Infrastrukturell ein nicht geeigneter Platz. Die Stadt Wuppertal wird aufgefordert, ein geeignetes Gelände zu finden.
1;Eine Open-Air-Kultur stärkt das Miteinander der Menschen in Wuppertal. Die Außengastronomie ist weiter auszubauen. Nach Ende der Haushaltssicherung sind die Gebühren zu senken.
-1;Die bisherige Rechtslage ist ausreichend. Es sollten weitere Auslaufplätze für Hunde ohne Leinenzwang bereit gestellt werden.
1;Wuppertal leistet im Rahmen des SGB die erforderlichen Aufwendungen zur Sozialhilfe und Hilfe zur Pflege, die parallel durch den Leistungsträger LVR (Landschaftsversammlung Rheinland). Weitere, darüber hinausgehende Leistungen können derzeit aufgrund der Haushaltssicherungslage noch nicht erbracht werden.
1; In Wuppertal sollte es ein kostenloses WLAN-Netz geben. Allen Bürgern / Familien / Kindern sollte der Zugang zum Internet möglich sein. Insbesondere Kinder dürfen hiervon durch die schlechte finanzielle Lage ihrer Eltern nicht ausgeschlossen werden. Die Verwaltung wird aufgefordert, hierfür auch Sponsoren zu suchen.
