1;Wir GRÜNEN setzen auf ein tolerantes und weltoffenes Wuppertal. Alle Bürger*innen, egal welcher religiösen, politischen und sexuellen Ausrichtung, sollen gemeinsam in Frieden und Freiheit miteinander leben können. Rechtsextremistische Strömungen müssen bekämpft werden. Als Prävention halten wir u.a. die Fortbildung von Erzieher*innen und Eltern für wichtig und wollen auch in der Jugendbildung in den Stadtteilen durch flexible Projektangebote den Neonazis den Boden entziehen.  
1;Menschen aus bildungsfernen Schichten und mit Migrationshintergrund müssen in der Lage sein, Bescheide und Anträge selbständig lesen und bearbeiten zu können. Nur so ist die bedingungslose Teilhabe am gesellschaftlichen Leben möglich.
1;Wir wollen den digitalen Wandel für alle nutzbar machen. Gerade die Verfügbarkeit von Daten und Informationen ist aus unserer Sicht ein wichtiger Baustein für bessere Mitwirkungsmöglichkeiten der Bürgerinnen und Bürger und höhere Akzeptanz von politischen Entscheidungsprozessen. 
0;Die nachhaltige Lösung der kommunalen Finanzprobleme kann letztlich nur durch entspreche Hilfen von Land und Bund erfolgen. Trotzdem ist Öffentlichkeitsbeteiligung bei wichtigen politischen Projekten wichtig für ihre Akzeptanz und die Verhinderung langfristiger Folgekosten. Wir wollen die Menschen außerdem noch  intensiver an der Aufstellung des städtischen Haushaltes beteiligen als bisher, denn die politischen Schwerpunkte müssen auch in einer finanzschwachen Kommune mit den Bürger*innen gemeinsam gesetzt werden. 
1;Die Liveübertragungen, die unter anderem auf Initiative der Grünen hin eingeführt wurden, haben sich etabliert und die Zugriffszahlen lassen darauf schließen, dass das Angebot auch angenommen wird. Daher wollen wir die Übertragung dauerhaft weiterführen. 
1;Die Schulsozialarbeit ist in Wuppertal unverzichtbar geworden, da sie dazu beiträgt, dass insbesondere Kinder aus sozial schwierigen Elternhäusern eine Teilhabe an gesellschaftlichen und schulischen Prozessen ermöglicht wird. Daher haben wir GRÜNE auch die Initiative zur befristeten Fortführung der Schulsozialarbeit bis Ende 2014 aus städtischen Mitteln mit in den Rat eingebracht und Bund und Land dazu aufgerufen, sich endlich in der Frage der Zuständigkeit zur dauerhaften Weiterfinanzierung zu einigen.  
1;Trotz neuer sechster Gesamtschule ist der Überhang bei der Nachfrage immer noch immens. Insbesondere im Osten der Stadt gibt es erheblichen Bedarf nach mehr Gesamtschulplätzen. Darauf haben wir GRÜNE immer hingewiesen und werden uns auch weiterhin für eine Lösung des Problems der fehlenden Plätze im Bereich des längeren gemeinsamen Lernens stark machen. 
-1;Sowohl für die Schulen als auch im vorschulischen Bereich fehlen Betreuungsplätze in hoher Zahl. Bei den Schulen hat Wuppertal in den ersten Jahren vergleichsweise schnell eine Versorgungsquote von 25% erreicht, danach wurden allerdings kaum noch zusätzliche Plätze geschaffen. Und auch bei den KiTas ist der Nachfrageüberhang noch wesentlich zu groß. Bei den Ganztagsschulen wollen wir eine neue Ausbauoffensive starten. Unter anderem wurde auf grüne Initiative im letzten Jahr die Schaffung von 1.000 neuen Plätzen in den nächsten 5 Jahren als ein erster Schritt beschlossen.
0;Lebensbegleitende Weiterbildung ist ein wichtiger Baustein, um berufliche und gesellschaftliche Teilhabe zu ermöglichen. In den letzten Jahren sind durch die Zusammenarbeit zwischen Wuppertal und Solingen viele Angebote erhalten worden, die ohne diese Kooperation möglicherweise nicht mehr hätten vorgehalten werden können. Allerdings werden wir darauf achten, dass nicht durch weitere Sparvorgaben der Mitgliedskommunen der Zugang zu den Bildungsangeboten der VHS oder die Angebote eingeschränkt werden.
1;Wuppertal MUSS mehr als die vom Land bereitgestellten Mittel investieren, da Inklusion eine gemeinsame Aufgabe ALLER politischer Ebenen ist. Schon heute muss bei Neubaumaßnahmen die Barrierefreiheit gewährleistet werden. Auch für den Schulbereich muss endlich ein Inklusionsplan vorgelegt werden, der aufzeigt, wie der Rechtsanspruch auf inklusive Beschulung auch erfüllt werden kann. Wuppertal braucht eine/n Inklusionsmanager*in, die/der alle Aktivitäten auf dem Weg zu einer inklusiven Stadt koordiniert.
