1;Als Liberale gestalten wir u.a durch Integrationsausschüsse aktive Integrationspolitik , beteiligten uns als Zeichen der Solidarität am Wupperpride und waren als Privatpersonen gegen Rechtsextremismus auf der Straße.  Wuppertal ist eine Stadt der Toleranz und soll dies auch in Zukunft sein.
1;Wir wollen eine bürgerfreundliche und bürgernahe Stadt. Dazu gehört auch eine klare und verständliche Umgangssprache der Verwaltung. Die Verwaltung hat in vielen Bereichen ihr schwer verständliches Behördendeutsch schon abgelegt, aber viele Bescheide können freundlicher und auch noch verständlicher werden. 
1;Eine transparentere Kommunalpolitik ist eines der Hauptziele der FDP. Das elektronische Rathaus kann hier einen Beitrag leisen. Die Hinterzimmerpolitik der Großen Kooperation muss ein Ende haben.
0;Wuppertal ist mit 2 Mrd. Euro hoch verschuldet. Bürgerbeteiligungsverfahren können hier sicher einen Beitrag leisten, jedoch das Problem als Ganzes nicht lösen. Dies ist jedoch kein Gegenargument zu Bürgerbeteiligung.
1;Eine Transparentere Kommunalpolitik ist eines der Hauptziele der FDP. Dazu gehört auch die Online Übertragung der Ratssitzungen. Die Hinterzimmerpolitik der Großen Kooperation muss ein Ende haben.
1;Die Schulsozialarbeit zu erhalten, war ein Schwerpunkt der FDP- Bildungs- und Sozialpolitik der letzten Monate. Eine Finanzierung für die Übergangsmonate wurde auf unsere Initiative beschlossen. Bei der Finanzierung ist aber das Land NRW in der Pflicht.
-1;Der Ausbau von Gesamtschulen geht auf Kosten aller anderen Schulen, für die dann kein Geld mehr zur Verfügung stünde. Die FDP bevorzugt eine vielfältige Schulllandschaft, in der alle Schulen gut ausgestattet sind und lehnt daher eine Bevorzugung von Gesamtschulen ab. Der Ausbau von Gesamtschulen befördert längeres gemeinsames Lernen nicht.
-1;Es gibt nach wie vor einen großen Mangel an Betreuungsplätzen. Der von der Verwaltung jetzt angekündigte Ausbau der offenen Ganztagsplätze um 250 ist zu gering. An den Grundschulen fehlen mehr als 1000 Plätze. Gleiches gilt für die U3 Betreuung. Doch das Geld, das für den Ausbau der Betreuung dringend benötigt wird, fließt in den Ausbau der 6ten Gesamtschule. Die FDP möchte das Problem der fehlenden Betreuung mit einer richtigen Prioritätensetzung in der Bildungspolitik angehen. 
0;
-1;Inklusion ist eines der wichtigsten Projekte der nächsten Jahre. Sie muss mit großer Sensibilität in einem schrittweisen Prozess und unter Wahrung höchster Qualität umgesetzt werden. Die inklusive Bildung wird mit Beginn des kommenden Schuljahres umgesetzt. Das Land NRW hat ein entsprechendes Gesetz verabschiedet, aber die Kommunen nicht mit den erforderlichen finanziellen Mitteln dafür ausgestattet. Allein der Umbau der Schulgebäude kostet in Wuppertal 66 Mio. Euro. Das Land zahlt dafür aber nur 1,5 Mio. Euro. Bei den Mitteln für Personal, wie etwa für Integrationshelfer sieht die Beteilung des Landes ähnlich schlecht aus. Wuppertal kann die Aufgaben des Landes nicht mitfinanzieren. Hier muss das Land deutlich nachbessern. Sonst droht die Inklusion in 'armen' Städten und Gemeinden zu scheitern.
